,Age,Gender,Education Level,Job Title,Years of Experience,Salary
67,31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0
68,34.0,Male,Master's,Business Development Manager,8.0,90000.0
69,49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0
70,33.0,Male,Bachelor's,Web Developer,6.0,65000.0
71,39.0,Female,Bachelor's,Recruiter,11.0,70000.0
72,45.0,Male,PhD,Research Director,16.0,190000.0
73,28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0
74,42.0,Female,Master's,Creative Director,14.0,120000.0
75,37.0,Male,Bachelor's,Project Manager,10.0,95000.0
76,50.0,Female,Bachelor's,Operations Manager,22.0,160000.0
77,32.0,Male,Master's,Senior Software Engineer,6.0,100000.0
78,48.0,Female,Master's,Human Resources Director,20.0,180000.0
79,30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0
80,36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0
81,41.0,Female,Master's,Data Analyst,13.0,80000.0
82,25.0,Male,Bachelor's,Sales Representative,0.0,30000.0
83,52.0,Male,PhD,Chief Technology Officer,24.0,250000.0
84,29.0,Female,Bachelor's,Junior Designer,2.0,40000.0
85,34.0,Female,Master's,Financial Advisor,10.0,95000.0
86,27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0
87,40.0,Female,Bachelor's,HR Generalist,15.0,80000.0
88,46.0,Male,Master's,Senior Project Manager,21.0,135000.0
89,31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0
90,36.0,Male,PhD,Principal Scientist,11.0,120000.0
91,29.0,Female,Bachelor's,Sales Associate,3.0,40000.0
92,43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0
93,52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0
94,33.0,Male,Bachelor's,Business Analyst,7.0,75000.0
95,39.0,Female,Bachelor's,Training Specialist,12.0,65000.0
96,47.0,Male,PhD,Research Scientist,22.0,160000.0
97,26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0
98,38.0,Female,Master's,Public Relations Manager,10.0,90000.0
99,45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0
100,31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0
101,35.0,Male,Master's,Product Marketing Manager,8.0,95000.0
102,49.0,Female,Master's,Senior HR Manager,19.0,150000.0
103,33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0
104,39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0
105,44.0,Male,PhD,Chief Data Officer,16.0,220000.0
106,30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0
107,36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0
108,41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0
109,28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0
110,42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0
111,37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0
112,50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0
113,32.0,Male,Master's,Senior Business Analyst,6.0,90000.0
114,23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0
115,31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0
116,40.0,Female,Bachelor's,Office Manager,15.0,65000.0
117,48.0,Male,PhD,Principal Engineer,20.0,170000.0
118,29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0
119,35.0,Male,Master's,Senior Product Manager,10.0,120000.0
120,42.0,Female,Bachelor's,Sales Manager,17.0,100000.0
121,53.0,Male,Master's,Director of Marketing,25.0,180000.0
122,33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0
123,38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0
124,44.0,Female,PhD,Senior Scientist,16.0,140000.0
125,26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0
126,37.0,Female,Master's,Senior HR Generalist,9.0,95000.0
127,45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0
128,32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0
129,34.0,Male,Master's,Senior Software Developer,8.0,105000.0
130,50.0,Female,Master's,Director of Operations,21.0,160000.0
131,29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0
132,40.0,Female,Master's,Senior Training Specialist,12.0,100000.0
133,47.0,Male,PhD,Senior Research Scientist,22.0,160000.0
134,27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0
135,39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0
136,46.0,Male,Master's,Senior Project Manager,19.0,140000.0
137,30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0
138,36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0
139,43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0
140,28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
141,41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0
142,33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0
143,47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0
144,25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0
145,34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0
146,42.0,Female,PhD,Senior Data Scientist,16.0,150000.0
147,31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0
148,38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0
149,45.0,Male,Master's,Director of Sales,19.0,175000.0
150,29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0
151,36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0
152,43.0,Female,PhD,Senior Product Designer,18.0,140000.0
153,26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0
154,37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0
155,44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0
156,32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0
157,33.0,Male,Master's,Senior Operations Manager,7.0,115000.0
158,51.0,Female,PhD,Director of Human Resources,23.0,185000.0
159,28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0
160,39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0
161,48.0,Male,Master's,Director of Product Management,21.0,175000.0
162,30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0
163,35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0
164,41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0
165,27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0
166,40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0
167,46.0,Male,PhD,Senior Researcher,18.0,150000.0
168,31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0
169,34.0,Male,Master's,Senior Software Engineer,9.0,105000.0
170,50.0,Female,Master's,Director of Finance,20.0,180000.0
171,29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
173,43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0
174,26.0,Female,Master's,Junior Data Scientist,1.5,45000.0
175,35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0
176,42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0
177,31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0
178,38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0
179,46.0,Male,Master's,Director of Operations,20.0,170000.0
180,29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0
181,37.0,Male,Master's,Senior Business Analyst,9.0,105000.0
182,44.0,Female,PhD,Senior UX Designer,15.0,145000.0
183,27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0
184,36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0
185,43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0
186,33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0
187,34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0
188,50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0
189,28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0
190,39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0
191,47.0,Male,Master's,Director of Business Development,19.0,170000.0
192,30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0
193,34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0
194,40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0
196,41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0
197,45.0,Male,PhD,Senior Data Analyst,17.0,155000.0
198,32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0
199,35.0,Male,Master's,Senior Software Developer,9.0,110000.0
200,49.0,Female,Master's,Director of Human Capital,21.0,180000.0
201,30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0
202,44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0
203,27.0,Female,Master's,Junior UX Designer,1.5,45000.0
204,36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0
205,41.0,Female,PhD,Senior Marketing Director,17.0,160000.0
206,31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0
207,39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0
208,47.0,Male,Master's,Director of Finance,20.0,170000.0
209,30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
210,38.0,Male,Master's,Senior IT Consultant,9.0,110000.0
211,45.0,Female,PhD,Senior Product Designer,15.0,150000.0
212,28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0
213,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0
214,44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0
215,34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0
216,35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0
217,50.0,Female,PhD,Director of Operations,22.0,180000.0
218,29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0
219,40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0
220,48.0,Male,Master's,Director of Marketing,19.0,170000.0
221,31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0
222,33.0,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0
223,42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0
224,28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0
225,40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0
226,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0
227,33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0
228,37.0,Male,Master's,Senior Software Architect,9.0,120000.0
229,51.0,Female,Master's,Director of Human Resources,21.0,190000.0
230,30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0
231,43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0
232,27.0,Female,Master's,Junior Research Scientist,1.5,50000.0
233,35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0
234,42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0
235,32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0
236,37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0
237,45.0,Male,Master's,Senior Software Developer,16.0,140000.0
238,33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0
239,39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0
240,44.0,Female,PhD,Senior HR Manager,18.0,160000.0
241,29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0
242,38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0
243,46.0,Male,PhD,Senior Data Analyst,19.0,150000.0
244,34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0
245,36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0
246,49.0,Female,Master's,Director of Marketing,21.0,180000.0
247,31.0,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0
248,41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0
249,47.0,Male,Master's,Director of Operations,20.0,170000.0
259,29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0
261,37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0
263,31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0
264,42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0
265,29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0
266,36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0
267,44.0,Female,Master's,Senior HR Specialist,15.0,140000.0
268,33.0,Male,Bachelor's,Junior Operations Manager,4.0,60000.0
269,39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0
270,45.0,Male,PhD,Senior Data Engineer,16.0,150000.0
271,32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0
272,37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0
273,47.0,Female,Master's,Director of Marketing,20.0,180000.0
274,30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
275,38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0
276,46.0,Male,PhD,Senior Data Analyst,17.0,160000.0
277,34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0
278,36.0,Male,Bachelor's,Senior Product Manager,8.0,95000.0
279,49.0,Female,Master's,Director of Operations,21.0,180000.0
280,31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0
282,47.0,Male,Master's,Director of Marketing,19.0,170000.0
283,29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0
284,35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0
285,44.0,Female,PhD,Senior Product Designer,15.0,150000.0
286,33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0
288,44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0
289,32.0,Male,Bachelor's,Junior Product Manager,4.0,65000.0
290,38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0
291,49.0,Male,PhD,Director of Operations,21.0,180000.0
292,29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0
293,35.0,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0
294,45.0,Female,Master's,Senior HR Manager,14.0,140000.0
295,33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0
296,40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0
297,44.0,Male,PhD,Senior Data Scientist,16.0,160000.0
298,30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0
299,37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0
300,48.0,Female,Master's,Director of HR,20.0,180000.0
301,31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0
302,38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0
304,33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0
305,36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0
308,42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0
316,34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0
318,30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0
319,37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0
320,45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0
321,32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0
322,39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0
323,47.0,Male,PhD,Director of Engineering,20.0,180000.0
324,29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0
325,36.0,Male,Bachelor's,Senior Operations Manager,9.0,100000.0
326,43.0,Female,PhD,Senior Data Scientist,15.0,150000.0
327,32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
329,48.0,Male,Master's,Director of Marketing,21.0,180000.0
330,31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0
331,40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0
332,45.0,Female,PhD,Senior UX Designer,16.0,160000.0
333,33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0
334,36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0
335,47.0,Male,Master's,Director of Operations,19.0,170000.0
336,29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0
337,34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0
338,44.0,Female,PhD,Senior Business Analyst,15.0,150000.0
339,33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0
340,35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0
341,43.0,Male,Master's,Director of Marketing,18.0,170000.0
342,31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0
343,41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0
344,44.0,Female,PhD,Senior Data Engineer,16.0,160000.0
347,45.0,Male,Master's,Director of Engineering,19.0,180000.0
348,28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0
349,36.0,Male,Bachelor's,Senior Business Development Manager,8.0,110000.0
350,44.0,Female,PhD,Senior Data Scientist,16.0,160000.0
351,31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0
371,43.0,Male,Master's,Director of Operations,19.0,170000.0
375,31.0,Male,Master's,Data Scientist,6.0,160000.0
376,28.0,Female,Bachelor's,Software Engineer,3.0,125000.0
377,26.0,Male,Master's,Product Manager,2.0,120000.0
378,27.0,Female,Bachelor's,Data Analyst,2.0,110000.0
379,30.0,Male,PhD,Data Scientist,5.0,180000.0
380,29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
381,32.0,Male,Bachelor's,Product Manager,7.0,170000.0
382,25.0,Female,Master's,Data Analyst,1.0,100000.0
383,33.0,Male,PhD,Data Scientist,8.0,190000.0
384,31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
385,28.0,Male,Master's,Product Manager,3.0,130000.0
386,30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
387,27.0,Male,PhD,Data Scientist,2.0,115000.0
389,34.0,Male,Bachelor's,Product Manager,9.0,185000.0
395,28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
396,26.0,Female,Master's,Product Manager,2.0,120000.0
397,27.0,Male,Bachelor's,Data Analyst,2.0,110000.0
398,30.0,Female,PhD,Data Scientist,5.0,180000.0
399,29.0,Male,Bachelor's,Software Engineer,4.0,140000.0
506,26.0,Male,Bachelor's,Data Analyst,3.0,130000.0
507,29.0,Female,Master's,Data Scientist,6.0,180000.0
508,32.0,Male,Bachelor's,Software Engineer,8.0,190000.0
509,27.0,Female,Bachelor's,Product Manager,4.0,150000.0
510,24.0,Male,Bachelor's,Data Analyst,1.0,90000.0
511,31.0,Female,Master's,Data Scientist,9.0,195000.0
512,28.0,Male,Bachelor's,Software Engineer,5.0,160000.0
513,33.0,Female,Master's,Product Manager,11.0,198000.0
514,25.0,Male,Bachelor's,Data Analyst,2.0,110000.0
515,30.0,Female,PhD,Data Scientist,7.0,185000.0
516,27.0,Male,Bachelor's,Software Engineer,4.0,140000.0
517,34.0,Female,Master's,Product Manager,12.0,196000.0
518,23.0,Male,Bachelor's,Data Analyst,1.0,95000.0
519,32.0,Female,PhD,Data Scientist,10.0,193000.0
520,29.0,Male,Bachelor's,Software Engineer,6.0,175000.0
521,30.0,Female,Bachelor's,Product Manager,5.0,160000.0
523,31.0,Female,Master's,Data Scientist,6.0,180000.0
534,31.0,Male,Bachelor's,Data Analyst,9.0,195000.0
535,28.0,Female,Bachelor's,Software Engineer,5.0,160000.0
536,33.0,Male,Master's,Product Manager,11.0,198000.0
537,26.0,Female,Bachelor's,Data Analyst,3.0,130000.0
538,30.0,Male,PhD,Data Scientist,7.0,185000.0
539,27.0,Female,Bachelor's,Software Engineer,4.0,140000.0
540,34.0,Male,Master's,Product Manager,12.0,196000.0
541,25.0,Female,Bachelor's,Data Analyst,2.0,110000.0
544,30.0,Male,Bachelor's,Data Analyst,5.0,160000.0
547,31.0,Female,PhD,Data Scientist,9.0,195000.0
596,25.0,Male,Bachelor's,Data Analyst,2.0,125000.0
597,28.0,Female,Master's,Data Scientist,6.0,175000.0
598,30.0,Male,Bachelor's,Software Engineer,8.0,190000.0
600,24.0,Male,Bachelor's,Data Analyst,1.0,95000.0
601,31.0,Male,Master's,Data Scientist,9.0,195000.0
608,23.0,Male,Bachelor's,Data Analyst,1.0,90000.0
610,29.0,Male,Bachelor's,Software Engineer,6.0,170000.0
612,26.0,Male,Bachelor's,Data Analyst,3.0,135000.0
620,25.0,Male,Bachelor's,Data Analyst,2.0,115000.0
677,27.0,Female,Master's,Data Scientist,4.0,150000.0
679,24.0,Female,Bachelor's,Product Manager,3.0,125000.0
681,31.0,Male,Master's,Data Scientist,7.0,180000.0
683,33.0,Female,Master's,Product Manager,10.0,195000.0
685,30.0,Female,PhD,Data Scientist,6.0,170000.0
687,34.0,Female,Master's,Product Manager,11.0,196000.0
688,23.0,Male,Bachelor's,Data Analyst,1.0,92000.0
689,32.0,Female,PhD,Data Scientist,9.0,195000.0
694,28.0,Male,Bachelor's,Software Engineer,5.0,165000.0
810,25.0,Male,Bachelor's,Data Analyst,3.0,135000.0
815,33.0,Female,Master's,Product Manager,11.0,196000.0
835,24.0,Male,Bachelor's,Data Analyst,1.0,92000.0
944,32.0,Male,Bachelor's Degree,Data Analyst,5.0,135000.0
945,27.0,Female,Master's Degree,Data Scientist,3.0,180000.0
946,40.0,Male,Bachelor's Degree,Software Engineer,12.0,195000.0
947,35.0,Female,Bachelor's Degree,Product Manager,8.0,165000.0
948,43.0,Male,Master's Degree,Data Scientist,15.0,198000.0
949,29.0,Female,Bachelor's Degree,Software Engineer,4.0,150000.0
950,36.0,Male,Bachelor's Degree,Data Analyst,9.0,162000.0
951,31.0,Male,Master's Degree,Data Scientist,6.0,175000.0
952,42.0,Female,Bachelor's Degree,Software Engineer,13.0,197000.0
953,33.0,Male,Bachelor's Degree,Data Analyst,7.0,142000.0
954,29.0,Female,Master's Degree,Data Scientist,4.0,182000.0
955,41.0,Male,Bachelor's Degree,Software Engineer,11.0,185000.0
956,35.0,Female,Bachelor's Degree,Product Manager,8.0,170000.0
957,27.0,Male,Bachelor's,Software Engineer,4.0,160000.0
958,32.0,Male,Bachelor's,Data Scientist,8.0,180000.0
959,29.0,Female,Master's,Data Analyst,6.0,150000.0
960,30.0,Male,Bachelor's,Data Analyst,5.0,140000.0
961,24.0,Male,Bachelor's,Data Analyst,2.0,100000.0
962,33.0,Female,Master's,Product Manager,11.0,190000.0
964,26.0,Male,Bachelor's,Data Analyst,3.0,120000.0
965,30.0,Female,PhD,Data Scientist,7.0,170000.0
966,31.0,Male,Bachelor's,Data Analyst,9.0,190000.0
967,28.0,Female,Bachelor's,Software Engineer,5.0,150000.0
968,26.0,Female,Bachelor's,Data Analyst,3.0,120000.0
969,30.0,Male,PhD,Data Scientist,7.0,170000.0
970,27.0,Female,Bachelor's,Product Manager,4.0,130000.0
971,24.0,Male,Bachelor's,Data Analyst,2.0,95000.0
972,33.0,Male,Master's,Product Manager,11.0,195000.0
973,25.0,Male,Bachelor's,Data Analyst,2.0,100000.0
974,28.0,Male,Bachelor's,Software Engineer,5.0,150000.0
976,29.0,Female,Master's,Data Scientist,6.0,150000.0
978,33.0,Female,Master's,Product Manager,11.0,195000.0
980,31.0,Female,Master's,Data Scientist,6.0,170000.0
985,32.0,Male,Bachelor's,Software Engineer,8.0,180000.0
990,34.0,Female,Master's,Product Manager,12.0,190000.0
999,25.0,Female,Bachelor's,Data Analyst,2.0,100000.0
1091,29.0,Male,Bachelor's,Software Engineer,7.0,180000.0
